SeqID,True_Classification,Protax_Classification,Protax_Probability,Accuracy
SH1159594.08FU_UDB0335978_reps,Thelephorales,Thelephorales,0.991,1
SH1159486.08FU_KF476884_reps,Thelephorales,Thelephorales,0.982,1
SH1140827.08FU_AY969759_reps,Thelephorales,Thelephorales,0.99,1
SH1245769.08FU_MN007027_reps,Polyporales,Polyporales,0.696,1
SH1238102.08FU_JN105716_reps,Polyporales,Polyporales,0.91,1
SH1190303.08FU_MH926037_reps,Polyporales,Polyporales,0.954,1
SH1145476.08FU_UDB007576_reps,Boletales,Boletales,0.788,1
SH1184430.08FU_UDB0767606_reps,Russulales,Russulales,0.434,1
SH1191708.08FU_MF496149_reps,Russulales,Russulales,0.914,1
SH2614834.08FU_UDB0680020_reps,Tremellales,Tremellales,0.206,1
SH1238165.08FU_MH861181_refs,Pleosporales,Pleosporales,0.344,1
SH1150688.08FU_KF800188_reps,Pleosporales,Pleosporales,0.163,1
SH1156865.08FU_AF486126_refs,Helotiales,Helotiales,0.563,1
SH1166814.08FU_EF669705_reps,Aspergillaceae,Aspergillaceae,0.985,1
SH1162773.08FU_KT310978_reps,Aspergillaceae,Aspergillaceae,0.998,1
SH1162466.08FU_HQ891869_reps,Aspergillaceae,Aspergillaceae,0.999,1
SH1166968.08FU_KY978354_reps,Aspergillaceae,Aspergillaceae,0.998,1
SH1235707.08FU_KY051892_reps,Diaporthales,Diaporthales,0.981,1
SH1191717.08FU_MF488989_refs,Xylariales,Xylariales,0.626,1
SH1142770.08FU_KT949894_reps,Xylariales,Xylariales,0.279,1
SH1183141.08FU_GU903288_reps,Magnaporthales,Magnaporthales,0.788,1
SH1228780.08FU_KY940500_reps,Magnaporthales,Magnaporthales,0.607,1
SH1172583.08FU_KR912053_reps,Teloschistales,Teloschistales,0.994,1
SH1183613.08FU_KJ707198_reps,Saccharomycetales,Saccharomycetales,0.558,1
SH1172915.08FU_JQ906769_refs,Saccharomycetales,Saccharomycetales,0.84,1
,,,,
Total Accuracy,,,0.74352,1
